0	Sak	0	_	0	I	0
1	Fon	0	_	0	I	0
2	Zod	1	i	0	I	2182
3	Fon	1	i	0	I	2182
4	Fon	40	t'	0	I	3155
5	Fon	19	eE	0	I	4711
6	Zod	56	s'	3	s	7153
7	Fon	56	s'	3	s	7153
8	Fon	36	p'	4	p	8737
9	Fon	2	e	5	e	10094
10	Fon	48	ts'	6	c	11380
11	Fon	1	i	7	i	13593
12	Fon	3	a	8	a	14518
13	Fon	77	l'	9	l	15745
14	Fon	6	I	10	i	16815
15	Fon	55	s	11	s	17915
16	Fon	39	t	12	t	19456
17	Fon	3	a	13	a	20888
18	Fon	70	j	14	i	22052
19	Zod	77	l'	16	L	23073
20	Fon	77	l'	16	L	23073
21	Fon	14	ie	17	i	24175
22	Fon	39	t	19	t	25885
23	Fon	5	u	20	u	27515
24	Fon	72	v	21	v	28616
25	Fon	26	oo	22	o	29643
26	Fon	69	j'	23	j	31179
27	Fon	7	E	24	e	32156
28	Zod	1	i	26	i	33693
29	Fon	1	i	26	i	33693
30	Fon	80	r	27	r	34575
31	Zod	39	t	29	t	35651
32	Fon	39	t	29	t	35651
33	Fon	26	oo	30	o	37088
34	Fon	77	l'	31	l	38617
35	Fon	7	E	33	a	39683
36	Fon	75	W	34	u	41203
37	Zod	46	g'	36	g	42635
38	Fon	46	g'	36	g	42635
39	Fon	11	ii	37	y	43800
40	Fon	73	v'	38	v	44964
41	Fon	7	E	39	e	45982
42	Fon	90	N	40	n	47527
43	Fon	55	s	41	s	48823
44	Zod	43	k	43	k	50351
45	Fon	43	k	43	k	50351
46	Fon	8	A	44	a	51753
47	Fon	71	J	45	i	53086
48	Fon	35	p	46	p	54322
49	Zod	43	k	48	k	55796
50	Fon	43	k	48	k	55796
51	Fon	3	a	49	a	57198
52	Fon	80	r	50	r	58378
53	Fon	25	aA	51	a	59121
54	Fon	77	l'	52	l	61827
55	Fon	2	e	54	a	62921
56	Fon	70	j	55	i	64080
57	Zod	0	_	58	 	65638
58	Fon	0	_	58	 	65638
59	Zod	0	_	0	I	67821
60	Sak	0	_	58	 	67821
61	Fon	0	_	59	j	67821
62	Zod	69	j'	59	j	70018
63	Fon	69	j'	59	j	70018
64	Fon	34	uU	60	ø	71416
65	Zod	81	r'	62	r	73475
66	Fon	81	r'	62	r	73475
67	Fon	7	E	63	e	74093
68	Fon	71	J	64	i	75689
69	Fon	44	k'	65	k	76926
70	Fon	56	s'	66	s	78376
71	Zod	36	p'	68	5	79948
72	Fon	36	p'	68	5	79948
73	Fon	2	e	68	5	81301
74	Fon	89	n'	68	5	82511
75	Fon	44	k'	68	5	83518
76	Fon	6	I	68	5	84962
77	Zod	43	k	70	k	86117
78	Fon	43	k	70	k	86117
79	Fon	3	a	71	a	87742
80	Fon	80	r	72	r	88881
81	Fon	39	t	73	t	90021
82	Fon	10	U	74	u	91631
83	Fon	57	z	75	s	92765
84	Zod	41	d	77	d	93964
85	Fon	41	d	77	d	93964
86	Fon	3	a	78	a	95033
87	Fon	74	w	79	u	96268
88	Fon	46	g'	80	g	97527
89	Fon	7	E	82	a	98764
90	Fon	75	W	83	u	100533
91	Zod	0	_	84	,	102542
92	Fon	0	_	84	,	102542
93	Zod	0	_	0	I	104734
94	Sak	0	_	84	,	104734
95	Fon	0	_	86	n	104734
96	Zod	89	n'	86	n	106924
97	Fon	89	n'	86	n	106924
98	Fon	2	e	87	e	108631
99	Fon	70	j	88	i	109883
100	Zod	45	g	90	g	110863
101	Fon	45	g	90	g	110863
102	Fon	25	aA	91	a	111892
103	Fon	77	l'	92	l	114669
104	Fon	1	i	93	i	115754
105	Zod	35	p	95	p	116641
106	Fon	35	p	95	p	116641
107	Fon	3	a	96	a	118247
108	Fon	56	s'	97	s	119361
109	Fon	33	Uu	99	û	121215
110	Fon	77	l'	100	l	123149
111	Fon	11	ii	101	y	124231
112	Fon	40	t'	102	t	125391
113	Fon	1	i	103	i	126954
114	Zod	3	a	105	a	127886
115	Fon	3	a	105	a	127886
116	Fon	74	w	106	u	129008
117	Fon	43	k	107	k	130232
118	Fon	59	S	108	ð	131634
119	Fon	39	t	109	t	133218
120	Fon	26	oo	110	o	134644
121	Fon	56	s'	111	s	136174
122	Fon	26	oo	113	o	138044
123	Fon	55	s	114	s	139553
124	Zod	84	m	116	m	141093
125	Fon	84	m	116	m	141093
126	Fon	26	oo	117	o	142339
127	Fon	44	k'	118	k	143822
128	Fon	13	iI	119	y	145546
129	Fon	43	k	120	k	147404
130	Fon	76	l	121	l	148811
131	Fon	26	oo	122	o	149991
132	Fon	55	s	123	s	151639
133	Zod	0	_	124	.	154452
134	Fon	0	_	124	.	154452
135	Zod	0	_	0	I	156654
136	Sak	0	_	124	.	156654
