0	Sak	0	_	0	P	0
1	Fon	0	_	0	P	0
2	Zod	35	p	0	P	2192
3	Fon	35	p	0	P	2192
4	Fon	8	A	1	a	4396
5	Fon	75	W	2	u	5830
6	Fon	77	l'	3	l	7204
7	Fon	5	u	5	u	8321
8	Fon	58	z'	6	s	9426
9	Zod	46	g'	8	G	10278
10	Fon	46	g'	8	G	10278
11	Fon	81	r'	9	r	11351
12	Fon	1	i	10	i	12360
13	Fon	89	n'	11	n	13389
14	Fon	44	k'	12	k	14408
15	Fon	22	eA	13	e	15767
16	Fon	73	v'	14	v	18093
17	Fon	1	i	15	i	18959
18	Fon	52	tS'	16	è	20009
19	Fon	5	u	18	u	21920
20	Fon	55	s	19	s	23516
21	Zod	0	_	20	 	27690
22	Fon	0	_	20	 	27690
23	Zod	0	_	0	P	29884
24	Sak	0	_	20	 	29884
